altitude,ch4_moleratio,ch4_pressure,ch4_qc,ch4_rssi,ch4_temp,computer_time,estimated_heading,frame,gps_fix,heading,heading_available,hpr_type,latitude,log_time,longitude,pitch,rmys_wdir_cf,rmys_wspd2D_cf,roll,spd_over_grnd,true_track,true_wdir,true_wspd,wdir_cf_corrected,wspd_cf_corrected,system_id
775.4,1.96011,93.1274,1,54.5109,18.0545,2018-07-04T11:24:55Z,130.64,46564,1,130.64,1,N,51.4818993183333,4375.351501,-113.073475033333,-8.97,166.3,17.44,-0.3,18.5861111111111,130.16,344.137400506436,3.52615038039241,-7.6514492842565,15.7855119915338,pomelo_1
773.7,1.97226,93.1696,1,54.7428,18.0534,2018-07-04T11:24:56Z,128.22,46574,1,128.22,1,N,51.481804515,4376.289103,-113.07328757,-8.39,166.5,15.64,-0.3,18.7416666666667,128.05,329.124569582364,5.02163168981809,-7.49040221856967,14.1714251132031,pomelo_1
771.9,1.96063,93.1579,1,54.642,18.0082,2018-07-04T11:24:57Z,126.35,46584,1,126.35,1,N,51.4817033116667,4377.216123,-113.073072913333,-8.19,168.6,18.42,-0.2,18.6888888888889,126.09,346.891489056315,2.49363471038539,-5.79940802885778,16.8800914372211,pomelo_1
770.4,1.96816,93.1767,1,54.6666,18.208,2018-07-04T11:24:58Z,124.61,46594,1,124.61,1,N,51.4816158616667,4378.153755,-113.072875105,-7.76,162,19.08,1.9,18.7722222222222,124.4,359.895502431491,3.87513644742783,-11.1139611965236,16.8818613385619,pomelo_1
768.9,1.96721,93.2189,1,54.7335,18.1951,2018-07-04T11:24:59Z,122.98,46604,1,122.98,1,N,51.4815321683333,4379.091324,-113.072671226667,-7.44,170.8,16.18,0.1,18.8333333333333,122.75,316.79104256515,4.00721954958746,-3.9518168351006,14.9774285525674,pomelo_1
767.3,1.96018,93.179,1,54.7137,18.3297,2018-07-04T11:25:00Z,122.79,46614,1,122.79,1,N,51.4814405466667,4380.028924,-113.072442585,-7.33,165.4,20.05,-0.1,18.9305555555556,122.9,11.0768091194725,2.87102355805084,-8.37616107984729,18.0610112131145,pomelo_1
766,1.96049,93.2113,1,54.6126,18.69,2018-07-04T11:25:01Z,122.39,46624,1,122.39,1,N,51.481358665,4380.961506,-113.072234745,-6.94,167.3,19.55,-0.8,19.0416666666667,122.14,358.322494073818,2.45977365945298,-6.84621395582229,17.790447288413,pomelo_1
764.6,1.96806,93.2172,1,54.502,18.3669,2018-07-04T11:25:02Z,122.07,46634,1,122.07,1,N,51.4812676666667,4381.899108,-113.072002968333,-6.64,166.4,19.58,-0.3,19,122.26,1.40663663604871,2.78925122130018,-7.57092575141309,17.73197498693,pomelo_1
763.5,1.96231,93.2278,1,54.4995,18.3093,2018-07-04T11:25:03Z,121.47,46644,1,121.47,1,N,51.4811859883333,4382.836709,-113.07179537,-6.06,169,21.06,3.4,18.8611111111111,121.99,42.4833197771632,2.05518107582155,-5.47731389748412,19.3412612000174,pomelo_1
762.5,1.96834,93.226,1,54.3129,18.3862,2018-07-04T11:25:04Z,120.76,46654,1,120.76,1,N,51.4811072316667,4383.774309,-113.07158876,-5.79,165.1,21.2,4,18.5361111111111,121.42,36.6425529746167,3.0867198393783,-8.61773167837754,19.0664978211373,pomelo_1
761.6,1.97385,93.233,1,54.5564,18.4194,2018-07-04T11:25:05Z,120.06,46664,1,120.06,1,N,51.48102164,4384.711911,-113.071361666667,-5.59,161.3,19.99,6.5,18.2888888888889,120.27,14.2211407528132,3.77733822229155,-11.6776259264276,17.6225596861513,pomelo_1
760.8,1.97568,93.2735,1,54.4688,18.3104,2018-07-04T11:25:06Z,119.24,46674,1,119.24,1,N,51.4809481783333,4385.648698,-113.071157993333,-5.14,159.3,18.64,5.5,18.1388888888889,120.05,359.798973978567,4.59771883158023,-13.280691091674,16.3134526330434,pomelo_1
760.2,1.97913,93.297,1,54.5446,18.1643,2018-07-04T11:25:07Z,119.27,46684,1,119.27,1,N,51.480875845,4386.5863,-113.070956565,-4.58,154.7,18.39,2.8,17.825,119.97,1.01661375162115,5.51328179087332,-16.9563858845871,15.9052880128346,pomelo_1
759.6,1.96797,93.3064,1,54.2974,18.1255,2018-07-04T11:25:08Z,118.47,46694,1,118.47,1,N,51.4807977116667,4387.523904,-113.07073774,-4.4,161.8,16.4,6.6,17.1777777777778,118.89,343.454856777792,4.18724758211895,-11.2750082622105,14.4954646238816,pomelo_1
759.1,1.96272,93.3105,1,54.4686,18.3903,2018-07-04T11:25:08Z,119.19,46704,1,119.19,1,N,51.480731165,4388.461503,-113.070545968333,-4.18,160.7,17.71,-1,16.6555555555556,119.9,6.74583678037646,3.77063935950429,-12.1607671234881,15.5639607052256,pomelo_1
758.7,1.96898,93.3311,1,54.4016,18.4106,2018-07-04T11:25:09Z,119.75,46714,1,119.75,1,N,51.4806581866667,4389.404688,-113.070341946667,-4.25,163.9,16.21,1.2,16.075,119.56,352.542145803731,2.96137266528224,-9.58401407249863,14.4863376345845,pomelo_1
